nombre,categoria, precio ,stock,ml,tipo,aroma,marca,imagen 
BHARARA VIKING DUBAI,árabes,$2048,1,100,edp,Amaderada,BHARARA,https://m.media-amazon.com/images/I/61Gd6gLaNqL._AC_UF1000,1000_QL80_.jpg	
BHARARA KING,árabes,$2026,1,100,edp,Cítrica,BHARARA,https://cdn11.bigcommerce.com/s-2vt02okold/images/stencil/1280x1280/products/3781/8891/HBHAK__20413.1761935220.jpg?c=1	
AMBER OUD BLEU EDITION,árabes,$1782,1,100,edp,Amaderada,AL HARAMAIN,https://ss701.liverpool.com.mx/xl/1124632028.jpg 	
9PM,árabes,$1154,2,150,edp,Dulce,AFNAN,https://ss701.liverpool.com.mx/xl/1111408170.jpg	
9PM REBEL,árabes,$1412,2,100,edp,Dulce,AFNAN,https://compraperfumesoriginales.com/product-images/9-pm-rebel-62901710752888203.png	
ODYSSEY CANDEE,árabes,$1142,1,100,edp,Gourmand,ARMAF,https://fraganciasfiord.com.mx/wp-content/uploads/2024/10/Perfume-Odyssey-Candee-de-ARMAF-en-Fragancias-Fiord.jpg
L' AVENTURE INTENSE,árabes,$1131,1,100,edp,Amaderada,AL HARAMAIN,https://compraperfumesoriginales.com/product-images/l-aventure-intense-6291100130597.png 	
YUM YUM,árabes,$1635,1,100,edp,Gourmand,ARMAF,https://fimgs.net/mdimg/perfume/o.98717.jpg	
CLUB DE NUIT BLING,árabes,$1848,1,105,edp,Amaderada,ARMAF,https://cazanovaonline.mx/cdn/shop/files/1_09552e0a-e6ae-4c54-8874-ddba50681377.webp?v=1762969278&width=1946
ARMAF ODYSSEY SPECTRA,árabes,$1168,2,100,edp,Especiada,ARMAF,https://www.bellaroma.mx/wp-content/uploads/2025/12/armaf-odyssey-spectra-perfume-hombre-e1766000201212.webp	
TA'WEEL,árabes,$761,1,100,edp,Amaderada,LATTAFA,https://www.costco.com.mx/medias/sys_master/products/h98/hd0/187466399547422.jpg	
AL AMEED,árabes,$848,1,100,edp,Tropical,LATTAFA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYio3dHlhzsxPzEgW85IvpDl4h6LkKlpUnCw&s	
ISLAND BLISS,árabes,$1325,1,100,edp,Amaderada,ARMAF,https://spcdn.shortpixel.ai/spio/ret_img,q_cdnize,to_webp,s_webp/nuestrasfragancias.com/wp-content/uploads/2025/08/Island-Bliss-Armaf-1024x1024.webp	
CLUB DE NUIT INTENSE MAN,árabes,$914,1,105,edp,Amaderada,ARMAF,https://m.media-amazon.com/images/I/61xqXyVpYrL._AC_UF1000,1000_QL80_.jpg
ORIENTICA AMBER ROUGE,árabes,$2155,1,100,edp,Aromática,ORIENTICA,https://ss701.liverpool.com.mx/xl/1116466381.jpg
ORIENTICA AMBER NOIR,árabes,$2741,1,100,edp,Oriental,ORIENTICA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsbhfeSrTgdsvcXPiHlchqi-r06lpLUbaCug&s
BHARARA BLOSSOM BOUQUET,árabes,$870,1,100,edp,Amaderada,BHARARA,https://i5.walmartimages.com/asr/65b580d2-edc4-49ce-b252-df4c90d5b194.0327cb3dc068665265d79e6f8fe9b9fd.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF	
CLUB DE NUIT  SILLAGE,árabes,$1175,1,105,edp,Floral,ARMAF,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFELmfPUl0gNgODZ_LzeoiEKsWTgc9m27ITg&s	
